Date      , 20H.Beta.V2_table, 20I.Alpha.V1_table, 20J.Gamma.V3_table, 21A.Delta_table, 21K.Omicron_table, Total_Sequences, 20H.Beta.V2_mutations, 20I.Alpha.V1_mutations, 20J.Gamma.V3_mutations, 21A.Delta_mutations, 21K.Omicron_mutations
2021-02-21,               0.0,                0.0,                2.0,            73.0,               0.0,            75.0,                    20,                     18,                     20,                  20,                    20
2021-02-22,               3.0,              132.0,              370.0,             0.0,               0.0,           505.0,                    20,                     18,                     20,                  20,                    20
2021-02-23,               4.0,               19.0,                0.0,             0.0,               0.0,            23.0,                    20,                     18,                     20,                  20,                    20
2021-02-24,               0.0,                0.0,               13.0,             0.0,               0.0,            13.0,                    20,                     18,                     20,                  20,                    20
2021-02-25,               3.0,               34.0,               17.0,             0.0,               0.0,            54.0,                    20,                     18,                     20,                  20,                    20
2021-02-26,               1.0,                0.0,                0.0,             0.0,               0.0,             1.0,                    20,                     18,                     20,                  20,                    20
2021-02-27,               0.0,                0.0,                8.0,             0.0,               0.0,             8.0,                    20,                     18,                     20,                  20,                    20
2021-02-28,               6.0,               51.0,                0.0,             0.0,               0.0,            57.0,                    20,                     18,                     20,                  20,                    20
2021-03-01,               0.0,               32.0,               19.0,             0.0,               0.0,            51.0,                    20,                     18,                     20,                  20,                    20
2021-03-02,              15.0,                0.0,                0.0,             0.0,               0.0,            15.0,                    20,                     18,                     20,                  20,                    20
2021-03-03,               0.0,                0.0,               76.0,             0.0,               0.0,            76.0,                    20,                     18,                     20,                  20,                    20
2021-03-04,               0.0,                4.0,                0.0,             0.0,               0.0,             4.0,                    20,                     18,                     20,                  20,                    20
2021-03-05,               0.0,              146.0,                0.0,             0.0,               0.0,           146.0,                    20,                     18,                     20,                  20,                    20
2021-03-06,               0.0,                0.0,                7.0,             0.0,               0.0,             7.0,                    20,                     18,                     20,                  20,                    20
2021-03-07,              37.0,                0.0,                0.0,             0.0,               0.0,            37.0,                    20,                     18,                     20,                  20,                    20
2021-03-08,              14.0,              678.0,                0.0,           236.0,               0.0,           928.0,                    20,                     18,                     20,                  20,                    20
2021-03-09,               0.0,                0.0,                0.0,         11226.0,               0.0,         11226.0,                    20,                     18,                     20,                  20,                    20
2021-03-10,               1.0,                0.0,                0.0,             0.0,               0.0,             1.0,                    20,                     18,                     20,                  20,                    20
2021-03-11,               0.0,               23.0,               60.0,           124.0,               0.0,           207.0,                    20,                     18,                     20,                  20,                    20
2021-03-12,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-03-13,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-03-14,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-03-15,             181.0,               27.0,                0.0,             0.0,               0.0,           208.0,                    20,                     18,                     20,                  20,                    20
2021-03-16,               0.0,                0.0,                0.0,           513.0,               0.0,           513.0,                    20,                     18,                     20,                  20,                    20
2021-03-17,              44.0,                0.0,                0.0,             0.0,               0.0,            44.0,                    20,                     18,                     20,                  20,                    20
2021-03-18,               0.0,               98.0,                0.0,          2113.0,               0.0,          2211.0,                    20,                     18,                     20,                  20,                    20
2021-03-19,               5.0,                0.0,                0.0,            34.0,               0.0,            39.0,                    20,                     18,                     20,                  20,                    20
2021-03-20,               0.0,                0.0,               16.0,             0.0,               0.0,            16.0,                    20,                     18,                     20,                  20,                    20
2021-03-21,               0.0,               49.0,                0.0,          1970.0,               0.0,          2019.0,                    20,                     18,                     20,                  20,                    20
2021-03-22,               0.0,                0.0,                1.0,             0.0,               0.0,             1.0,                    20,                     18,                     20,                  20,                    20
2021-03-23,               4.0,                8.0,                0.0,          4286.0,               0.0,          4298.0,                    20,                     18,                     20,                  20,                    20
2021-03-24,              13.0,                0.0,                4.0,             0.0,               0.0,            17.0,                    20,                     18,                     20,                  20,                    20
2021-03-25,               0.0,              311.0,                0.0,            32.0,               0.0,           343.0,                    20,                     18,                     20,                  20,                    20
2021-03-26,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-03-27,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-03-28,               0.0,                0.0,                0.0,           316.0,               0.0,           316.0,                    20,                     18,                     20,                  20,                    20
2021-03-29,               0.0,                0.0,                0.0,          1190.0,               0.0,          1190.0,                    20,                     18,                     20,                  20,                    20
2021-03-30,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-03-31,               6.0,                1.0,              304.0,             0.0,               0.0,           311.0,                    20,                     18,                     20,                  20,                    20
